qid,system,time,k
1,A,68.8293,10
2,A,31.4322,10
3,A,93.5239,10
4,A,79.3054,10
5,A,73.0177,10
6,A,54.998,10
7,A,12.7964,10
8,A,49.1778,10
9,A,21.4683,10
10,A,66.9182,10
11,A,60.9367,10
12,A,8.16125,10
13,A,12.942,10
14,A,78.0065,10
15,A,0.167861,10
16,A,65.8883,10
17,A,33.4525,10
18,A,81.6016,10
19,A,78.5201,10
20,A,93.7736,10
21,A,60.228,10
22,A,28.5896,10
23,A,25.6234,10
24,A,50.7185,10
25,A,80.5221,10
26,A,57.7186,10
27,A,10.3,10
28,A,89.6846,10
29,A,61.6178,10
30,A,97.3513,10
31,A,99.115,10
32,A,94.7821,10
33,A,1.14216,10
34,A,72.7348,10
35,A,50.1464,10
36,A,38.6665,10
37,A,44.3681,10
38,A,47.0702,10
39,A,91.2329,10
40,A,65.5843,10
41,A,84.9084,10
42,A,69.811,10
43,A,55.0192,10
44,A,82.2166,10
45,A,88.021,10
46,A,48.9942,10
47,A,95.4577,10
48,A,64.4869,10
49,A,85.6624,10
50,A,50.6611,10
51,A,17.7117,10
52,A,58.9808,10
53,A,24.3284,10
54,A,28.3833,10
55,A,34.3356,10
56,A,84.7715,10
57,A,33.2675,10
58,A,97.4664,10
59,A,57.2506,10
60,A,36.0782,10
61,A,24.145,10
62,A,29.594,10
63,A,14.8504,10
64,A,83.6797,10
65,A,15.112,10
66,A,8.63586,10
67,A,87.9412,10
68,A,60.9589,10
69,A,15.9569,10
70,A,28.7533,10
71,A,77.9311,10
72,A,99.3995,10
73,A,66.3176,10
74,A,27.2543,10
75,A,35.4156,10
76,A,48.3576,10
77,A,26.3641,10
78,A,26.532,10
79,A,92.4203,10
80,A,25.8728,10
81,A,7.47439,10
82,A,85.9945,10
83,A,79.7681,10
84,A,39.9961,10
85,A,68.5857,10
86,A,94.209,10
87,A,44.9276,10
88,A,25.4497,10
89,A,83.1683,10
90,A,93.4683,10
91,A,83.1528,10
92,A,44.7706,10
93,A,42.1219,10
94,A,41.2369,10
95,A,36.0189,10
96,A,37.1611,10
97,A,9.89583,10
98,A,60.0422,10
99,A,98.7087,10
100,A,43.0768,10
101,A,90.147,10
102,A,81.3799,10
103,A,46.9642,10
104,A,31.8726,10
105,A,1.68364,10
106,A,56.7029,10
107,A,38.9194,10
108,A,26.9404,10
109,A,75.9346,10
110,A,71.3923,10
111,A,35.8793,10
112,A,21.5416,10
113,A,72.2027,10
114,A,89.9144,10
115,A,48.8952,10
116,A,73.2236,10
117,A,1.60697,10
118,A,35.9426,10
119,A,20.7141,10
120,A,53.9815,10
121,A,51.4479,10
122,A,8.69848,10
123,A,44.7767,10
124,A,68.9217,10
125,A,98.5157,10
126,A,13.3662,10
127,A,97.0459,10
128,A,12.1579,10
129,A,20.7937,10
130,A,8.73497,10
131,A,69.6939,10
132,A,85.6507,10
133,A,14.4041,10
134,A,92.3352,10
135,A,91.7347,10
136,A,58.0523,10
137,A,85.3066,10
138,A,20.7222,10
139,A,69.0798,10
140,A,95.444,10
141,A,21.976,10
142,A,14.3962,10
143,A,40.2691,10
144,A,47.7435,10
145,A,33.738,10
146,A,13.506,10
147,A,53.5021,10
148,A,22.0878,10
149,A,16.2968,10
150,A,61.2244,10
151,A,86.6741,10
152,A,69.8424,10
153,A,63.3106,10
154,A,46.4634,10
155,A,91.2341,10
156,A,33.3559,10
157,A,74.5928,10
158,A,10.6117,10
159,A,47.7728,10
160,A,57.6686,10
161,A,17.7109,10
162,A,16.4196,10
163,A,59.4964,10
164,A,49.6434,10
165,A,31.0233,10
166,A,77.9875,10
167,A,9.86008,10
168,A,11.5437,10
169,A,68.2466,10
170,A,7.16604,10
171,A,34.1065,10
172,A,10.041,10
173,A,81.4334,10
174,A,17.3126,10
175,A,38.8542,10
176,A,11.0569,10
177,A,0.971379,10
178,A,49.8666,10
179,A,23.0902,10
180,A,24.6972,10
181,A,60.6397,10
182,A,81.3538,10
183,A,35.3353,10
184,A,86.7832,10
185,A,95.4817,10
186,A,40.2584,10
187,A,9.18012,10
188,A,7.69585,10
189,A,21.062,10
190,A,18.1079,10
191,A,30.2658,10
192,A,51.0596,10
193,A,59.7945,10
194,A,29.4884,10
195,A,15.1391,10
196,A,29.5432,10
197,A,21.8784,10
198,A,13.613,10
199,A,71.6653,10
200,A,56.9719,10
201,A,77.6941,10
202,A,46.774,10
203,A,42.2179,10
204,A,64.1939,10
205,A,78.5901,10
206,A,18.8592,10
207,A,66.6027,10
208,A,0.340631,10
209,A,13.8467,10
210,A,67.3488,10
211,A,89.4366,10
212,A,5.73339,10
213,A,66.9578,10
214,A,53.6319,10
215,A,23.4742,10
