qlen,time,type
2,1268.51,Passage-100:50
1,240.377,Passage-100:50
18,30932.4,Passage-100:50
3,636.423,Passage-100:50
3,1275.43,Passage-100:50
5,1538.45,Passage-100:50
14,7324.3,Passage-100:50
6,678.515,Passage-100:50
7,8039.56,Passage-100:50
2,474.298,Passage-100:50
23,29085.8,Passage-100:50
9,5291.34,Passage-100:50
2,181.008,Passage-100:50
3,4496.38,Passage-100:50
3,463.363,Passage-100:50
9,13852.3,Passage-100:50
22,68933.8,Passage-100:50
7,2894.68,Passage-100:50
23,51678,Passage-100:50
15,18662.4,Passage-100:50
8,8035.25,Passage-100:50
4,1935.47,Passage-100:50
14,27680.5,Passage-100:50
13,13819,Passage-100:50
19,38946,Passage-100:50
27,58785.1,Passage-100:50
22,63689.6,Passage-100:50
2,5.714,Passage-100:50
10,8621.11,Passage-100:50
7,8466.86,Passage-100:50
9,10284.9,Passage-100:50
19,15972.7,Passage-100:50
7,1271.91,Passage-100:50
11,20799.9,Passage-100:50
3,1468.44,Passage-100:50
1,8.078,Passage-100:50
29,35938.8,Passage-100:50
14,7029.74,Passage-100:50
22,15836.8,Passage-100:50
2,138.678,Passage-100:50
6,5784.43,Passage-100:50
5,2489.78,Passage-100:50
12,17800.9,Passage-100:50
5,2738.75,Passage-100:50
13,24440.3,Passage-100:50
2,576.755,Passage-100:50
28,60769.9,Passage-100:50
23,20352.5,Passage-100:50
6,6984.06,Passage-100:50
6,8491.49,Passage-100:50
10,3427.31,Passage-100:50
7,6037.88,Passage-100:50
13,3917.41,Passage-100:50
13,20074.5,Passage-100:50
5,1173.01,Passage-100:50
16,10909.9,Passage-100:50
11,13715.1,Passage-100:50
6,1405.86,Passage-100:50
7,8208.33,Passage-100:50
20,30947.4,Passage-100:50
27,61929.7,Passage-100:50
11,8657.18,Passage-100:50
8,1590.69,Passage-100:50
13,5081.93,Passage-100:50
5,489.44,Passage-100:50
6,5128.73,Passage-100:50
13,13976.3,Passage-100:50
14,27926.8,Passage-100:50
10,19960.8,Passage-100:50
3,3479.84,Passage-100:50
13,10235.9,Passage-100:50
14,24731.2,Passage-100:50
5,7316.12,Passage-100:50
19,16262.9,Passage-100:50
12,13825.7,Passage-100:50
11,19196.3,Passage-100:50
15,17921.2,Passage-100:50
8,3658.84,Passage-100:50
6,3506.48,Passage-100:50
8,16277.3,Passage-100:50
6,3252.43,Passage-100:50
8,5965.11,Passage-100:50
18,26960.7,Passage-100:50
3,2473.01,Passage-100:50
4,1358.88,Passage-100:50
12,14084.9,Passage-100:50
7,2703.97,Passage-100:50
7,2488.68,Passage-100:50
16,25065.3,Passage-100:50
2,426.817,Passage-100:50
23,20618.2,Passage-100:50
8,2069.09,Passage-100:50
5,7997.28,Passage-100:50
11,1138.77,Passage-100:50
20,28251.9,Passage-100:50
9,1841.18,Passage-100:50
19,55689.8,Passage-100:50
5,1652.89,Passage-100:50
18,29426.4,Passage-100:50
11,3294.97,Passage-100:50
3,305.554,Passage-100:50
13,12579.2,Passage-100:50
3,166.249,Passage-100:50
10,21452.6,Passage-100:50
10,11951.8,Passage-100:50
12,7792.81,Passage-100:50
4,2092.52,Passage-100:50
9,12390.2,Passage-100:50
10,8341.68,Passage-100:50
7,5512.35,Passage-100:50
14,16458.2,Passage-100:50
26,22840.8,Passage-100:50
1,836.025,Passage-100:50
16,4491.91,Passage-100:50
12,6032.29,Passage-100:50
10,7083.52,Passage-100:50
3,5441.91,Passage-100:50
20,72856.3,Passage-100:50
8,6073.84,Passage-100:50
17,20352.7,Passage-100:50
7,9177.51,Passage-100:50
3,157.059,Passage-100:50
6,951.964,Passage-100:50
14,18762.1,Passage-100:50
9,8790.26,Passage-100:50
4,5911.8,Passage-100:50
24,35780.8,Passage-100:50
10,1721.82,Passage-100:50
3,554.664,Passage-100:50
5,5974.16,Passage-100:50
6,1368.67,Passage-100:50
13,26607.6,Passage-100:50
2,6.093,Passage-100:50
8,8293.64,Passage-100:50
8,2984.6,Passage-100:50
9,1394.03,Passage-100:50
9,10173.4,Passage-100:50
7,4184.85,Passage-100:50
11,9041.84,Passage-100:50
4,965.45,Passage-100:50
7,4905.68,Passage-100:50
34,22922.5,Passage-100:50
15,6659.68,Passage-100:50
7,4310.68,Passage-100:50
2,3.859,Passage-100:50
8,13744.9,Passage-100:50
18,45599.4,Passage-100:50
4,1337.72,Passage-100:50
4,4287.4,Passage-100:50
8,8117.75,Passage-100:50
13,18574.3,Passage-100:50
19,7326.53,Passage-100:50
7,6875.61,Passage-100:50
22,35560.8,Passage-100:50
3,373.853,Passage-100:50
14,18151.4,Passage-100:50
24,53077.1,Passage-100:50
9,3470.27,Passage-100:50
20,44101.6,Passage-100:50
10,167.212,Passage-100:50
9,5265.68,Passage-100:50
7,2729.35,Passage-100:50
4,4.029,Passage-100:50
12,15820.1,Passage-100:50
2,52.878,Passage-100:50
18,22228.8,Passage-100:50
6,12048.3,Passage-100:50
7,8235.92,Passage-100:50
8,6783.81,Passage-100:50
4,3878.94,Passage-100:50
31,50771.9,Passage-100:50
11,14004.3,Passage-100:50
10,14774.2,Passage-100:50
6,2173.89,Passage-100:50
6,2863.58,Passage-100:50
9,4109.85,Passage-100:50
13,28759.9,Passage-100:50
20,14222.5,Passage-100:50
27,81664.8,Passage-100:50
11,11969.7,Passage-100:50
9,2137.7,Passage-100:50
31,39300.8,Passage-100:50
6,7855.86,Passage-100:50
7,10327.3,Passage-100:50
8,6159.7,Passage-100:50
9,1083.88,Passage-100:50
27,39147.8,Passage-100:50
8,10867.3,Passage-100:50
27,54867.6,Passage-100:50
11,14686.9,Passage-100:50
2,697.374,Passage-100:50
9,8623.45,Passage-100:50
6,5779.28,Passage-100:50
9,3069.56,Passage-100:50
8,4527.64,Passage-100:50
2,868.557,Passage-100:50
7,4856.42,Passage-100:50
9,2721.06,Passage-100:50
17,13606.4,Passage-100:50
6,8747.16,Passage-100:50
5,780.714,Passage-100:50
4,2051.26,Passage-100:50
6,6453.79,Passage-100:50
10,2957.6,Passage-100:50
14,5509.37,Passage-100:50
17,9484.71,Passage-100:50
8,5840.24,Passage-100:50
9,1051.63,Passage-100:50
9,12349.5,Passage-100:50
14,13940.6,Passage-100:50
5,5487.69,Passage-100:50
13,14964.4,Passage-100:50
18,2772.46,Passage-100:50
1,422.214,Passage-100:50
28,62222.2,Passage-100:50
5,5803.07,Passage-100:50
27,47251.8,Passage-100:50
12,10242.2,Passage-100:50
5,710.836,Passage-100:50
24,45678.6,Passage-100:50
21,38185.8,Passage-100:50
6,4415.6,Passage-100:50
1,996.984,Passage-100:50
7,15617,Passage-100:50
4,1197.36,Passage-100:50
6,7073.28,Passage-100:50
27,35017.9,Passage-100:50
2,2725.79,Passage-100:50
3,2035.27,Passage-100:50
6,1947.52,Passage-100:50
6,1183.3,Passage-100:50
13,6490.32,Passage-100:50
9,3560.63,Passage-100:50
4,3404.01,Passage-100:50
11,19360.6,Passage-100:50
14,16998.7,Passage-100:50
7,6898.97,Passage-100:50
21,52231.4,Passage-100:50
1,1157.89,Passage-100:50
2,496.377,Passage-100:50
8,3151.55,Passage-100:50
4,1636.85,Passage-100:50
11,1904.5,Passage-100:50
11,10849.4,Passage-100:50
10,5642.08,Passage-100:50
3,299.75,Passage-100:50
2,48.285,Passage-100:50
10,12448.4,Passage-100:50
8,1887.66,Passage-100:50
15,21256.4,Passage-100:50
13,19217.1,Passage-100:50
14,34435.2,Passage-100:50
8,5008.32,Passage-100:50
7,6915.24,Passage-100:50
24,33093.9,Passage-100:50
13,8779.2,Passage-100:50
9,13186.7,Passage-100:50
10,3770.62,Passage-100:50
17,15717.8,Passage-100:50
18,27272.3,Passage-100:50
26,51506.7,Passage-100:50
16,7133.41,Passage-100:50
10,7142.26,Passage-100:50
13,17765.8,Passage-100:50
13,37173.9,Passage-100:50
4,2577.47,Passage-100:50
9,495.282,Passage-100:50
7,2135.42,Passage-100:50
26,53918.9,Passage-100:50
6,1384.93,Passage-100:50
17,19795.4,Passage-100:50
9,10910.2,Passage-100:50
8,7194.08,Passage-100:50
11,14546.4,Passage-100:50
7,1025.72,Passage-100:50
10,15568,Passage-100:50
2,336.576,Passage-100:50
8,8694.37,Passage-100:50
17,27883.7,Passage-100:50
9,2317.22,Passage-100:50
12,13288.4,Passage-100:50
5,5613.4,Passage-100:50
3,678.754,Passage-100:50
10,1107.35,Passage-100:50
4,1029.04,Passage-100:50
5,1853.69,Passage-100:50
7,2788.89,Passage-100:50
12,6878.64,Passage-100:50
5,346.949,Passage-100:50
5,5782.03,Passage-100:50
8,12205,Passage-100:50
30,64944.2,Passage-100:50
21,18530.3,Passage-100:50
15,8242.18,Passage-100:50
13,7554.26,Passage-100:50
6,6408.76,Passage-100:50
13,5752.73,Passage-100:50
3,3016.52,Passage-100:50
11,12474.8,Passage-100:50
3,328.176,Passage-100:50
6,1861.41,Passage-100:50
6,1350.22,Passage-100:50
10,3438.91,Passage-100:50
4,637.074,Passage-100:50
7,902.702,Passage-100:50
10,5389.69,Passage-100:50
7,803.003,Passage-100:50
5,2270.23,Passage-100:50
14,7316.84,Passage-100:50
4,441.723,Passage-100:50
7,1122.65,Passage-100:50
10,5455.81,Passage-100:50
14,26035,Passage-100:50
21,66089.2,Passage-100:50
2,542.675,Passage-100:50
13,13543.9,Passage-100:50
4,1850.92,Passage-100:50
8,6050.3,Passage-100:50
8,1931.41,Passage-100:50
19,6361.95,Passage-100:50
9,2384.1,Passage-100:50
8,4919.45,Passage-100:50
5,220.696,Passage-100:50
7,3493.99,Passage-100:50
24,49571.8,Passage-100:50
9,9152.33,Passage-100:50
4,6398.48,Passage-100:50
25,54544.9,Passage-100:50
6,1648.09,Passage-100:50
4,383.085,Passage-100:50
3,1861.56,Passage-100:50
6,2721.78,Passage-100:50
8,12483.7,Passage-100:50
6,6990.59,Passage-100:50
12,5564.97,Passage-100:50
15,11922.5,Passage-100:50
9,7373.65,Passage-100:50
