group perc overlap
2 100 1.000000
2 60 0.821526
2 61 0.824216
2 20 0.699181
2 62 0.824387
2 21 0.690555
2 63 0.832284
2 22 0.697157
2 64 0.837578
2 23 0.701945
2 65 0.849829
2 24 0.700619
2 66 0.838275
2 25 0.700624
2 67 0.841523
2 26 0.726853
2 68 0.839406
2 27 0.725983
2 69 0.858606
2 28 0.735927
2 29 0.742275
3 60 0.849484
3 61 0.847506
3 20 0.657054
3 62 0.840135
3 21 0.674907
3 63 0.848189
3 22 0.682302
3 64 0.831069
3 23 0.674861
3 65 0.831001
3 24 0.693928
3 66 0.823837
3 25 0.689857
3 67 0.843714
3 26 0.705820
3 68 0.834873
3 27 0.699696
3 69 0.850033
3 28 0.706759
3 29 0.721794
4 60 0.847851
4 61 0.890544
4 20 0.646067
4 62 0.869450
4 21 0.659727
4 63 0.870663
4 22 0.655491
4 64 0.871488
4 23 0.667403
4 65 0.863347
4 24 0.668456
4 66 0.859000
4 25 0.670409
4 67 0.864089
4 26 0.687800
4 68 0.869803
4 27 0.692413
4 69 0.881081
4 28 0.716434
4 29 0.711031
1 60 0.903144
1 61 0.889318
1 20 0.728078
1 62 0.887835
1 21 0.734241
1 63 0.906944
1 22 0.746556
1 64 0.906975
1 23 0.749079
1 65 0.901353
1 24 0.758766
1 66 0.909134
1 25 0.758741
1 67 0.915447
1 26 0.758466
1 68 0.907010
1 27 0.769894
1 69 0.918010
1 28 0.768096
1 29 0.781569
4 100 1.000000
2 70 0.851051
2 30 0.746089
2 71 0.860691
2 31 0.748667
2 72 0.853770
2 32 0.769857
2 73 0.863545
2 33 0.755177
2 74 0.860645
2 34 0.756698
2 75 0.875929
2 35 0.750367
2 76 0.872295
2 77 0.876955
2 36 0.756917
2 78 0.886959
2 37 0.762140
2 79 0.885360
2 38 0.770031
2 39 0.769053
3 70 0.840218
3 71 0.846390
3 30 0.731359
3 72 0.845718
3 31 0.755167
3 73 0.856189
3 32 0.742992
3 74 0.853365
3 33 0.740954
3 34 0.766565
3 75 0.849247
3 35 0.754031
3 76 0.864999
3 36 0.770552
3 77 0.849359
3 37 0.776697
3 78 0.860192
3 38 0.779415
3 79 0.873444
3 39 0.796857
2 0 0.231592
2 1 0.380873
2 2 0.430510
1 100 1.000000
2 3 0.471177
2 4 0.490774
2 5 0.505045
2 6 0.528117
2 7 0.555481
2 8 0.567970
2 9 0.583641
4 70 0.849701
4 30 0.700519
4 71 0.838259
4 31 0.722138
4 72 0.872379
4 32 0.729788
4 73 0.839061
4 33 0.729146
4 74 0.866686
4 34 0.720866
4 75 0.853318
4 35 0.746837
4 76 0.851166
4 36 0.746407
4 77 0.871435
4 37 0.764715
4 78 0.856730
4 38 0.767190
4 79 0.863468
4 39 0.746772
1 70 0.927801
1 71 0.917404
1 30 0.779302
1 72 0.928566
1 31 0.787142
1 73 0.928861
1 32 0.790314
1 74 0.933641
1 33 0.802991
1 75 0.933949
1 34 0.811712
1 76 0.936411
1 35 0.797726
1 77 0.945132
1 36 0.818799
1 78 0.943210
1 37 0.819832
1 79 0.948195
1 38 0.817739
1 39 0.819563
4 0 0.189794
4 1 0.331367
4 2 0.382273
4 3 0.424240
4 4 0.453777
4 5 0.483846
4 6 0.496141
4 7 0.511002
4 8 0.519052
4 9 0.536404
2 80 0.887426
2 81 0.890047
2 40 0.776038
2 82 0.903695
2 41 0.807644
2 83 0.894189
2 42 0.793034
2 84 0.902257
2 43 0.791004
2 85 0.907152
2 44 0.812210
2 86 0.913145
2 45 0.786173
2 87 0.910750
2 46 0.791566
2 88 0.925471
2 47 0.779416
2 89 0.922871
2 48 0.792994
2 49 0.796908
3 80 0.870733
3 81 0.865533
3 40 0.775900
3 82 0.875285
3 41 0.796250
3 83 0.880945
3 42 0.788646
3 84 0.882863
3 43 0.801810
3 85 0.889741
3 44 0.801987
3 86 0.884035
3 45 0.789248
3 87 0.893046
3 46 0.794664
3 88 0.896420
3 47 0.801647
3 89 0.894740
